,puissance,f0,excursion,LI,c0Montant,c1Montant,c2Montant,dureeTransitoireMontant,aucMontant,penteMaxMontant,meanMontant,varianceMontant,skewnessMontant,kurtosisMontant,dureeTransitoireStable,aucStable,penteMaxStable,meanStable,varianceStable,skewnessStable,kurtosisStable,c0Descendant,c1Descendant,c2Descendant,dureeTransitoireDescendant,aucDescendant,penteMaxDescendant,meanDescendant,varianceDescendant,skewnessDescendant,kurtosisDescendant,numEmetteur,numFenetre,navire
1638,-67.5,431.5,12.5,1095.0,-1622714383.4141204,-2664807.5608843276,-1094.0289490483092,8.639375000000843e-07,20.92669529748927,1.7812231911037762e-05,-0.5780423164356682,-0.8187428638469778,0.0015138948172150504,1.8411104433115656e-07,5.560999999999956e-06,195.95496093351449,0.00020306917460213457,-0.7975724953094413,1.1969699808058856,0.0022023349218143994,1.798640837084556e-09,-31239877199.145294,-54611178.73675503,-23866.77599097962,2.2543749999995137e-07,5.280566828775978,0.0002728983255970779,-0.7648022723505025,-0.5333644291573658,0.0014639279913288322,1.8184155105828207e-07,1638,,1
1639,-67.5,434.5,17.0,1075.0,854323730234.8376,1562589552.8516803,714508.4539801889,2.812499999994139e-08,0.22129492846556809,0.00013247669408077926,0.24501487279532388,-1.225823171993692,0.0004926720272164011,1.015437338328011e-07,4.328243749999994e-05,1114.9834603563334,6.655236979386404e-05,-0.20854205089203195,0.193938906102181,0.0016100401465388803,1.327044066192724e-09,822699502338.1329,1504596001.089086,687921.0210249212,4.625000000005059e-08,0.30342638967256713,0.00017889796074821066,0.599304261159785,-1.2890347237516897,0.00041033917299248727,1.6538617101492288e-07,1639,,1
1640,-72.5,434.5,14.0,1105.0,854323730234.8376,1562589552.8516803,714508.4539801889,2.812499999994139e-08,0.22129492846556809,0.00013247669408077926,0.24501487279532388,-1.225823171993692,0.0004926720272164011,1.015437338328011e-07,1.1233562499999954e-05,358.183615479258,0.00011586121733118829,-1.0665619304637517,2.7828726657048977,0.001992818415506478,2.012866159880079e-09,-399895802.2766638,-582948.9953549309,-212.4469385709623,1.2637499999999758e-06,28.81639667949415,0.00029174789667546757,-0.4436513302022281,-0.9599487987962507,0.001425146574275798,8.456632382581357e-08,1640,,1
1641,-82.5,424.0,21.5,1110.0,-398969443.6937515,-590491.9936155526,-218.4865471716914,1.2637499999999758e-06,28.816240473176,0.00019883100704208437,-0.4435733244800103,-0.9603429118043469,0.0014251470464430066,8.457194585438666e-08,1.0570000000000544e-06,34.39509370993637,0.0001389825616250203,-0.06262929254429471,-0.12599462740995548,0.002033764666457552,1.4812896496451822e-09,822699502338.1329,1504596001.089086,687921.0210249212,4.625000000005059e-08,0.30342638967256713,0.00017889796074821066,0.599304261159785,-1.2890347237516897,0.00041033917299248727,1.6538617101492288e-07,1641,,1
1642,-77.5,427.0,17.0,1110.0,-341070653.71991336,-504679.7633226006,-186.69081698628574,1.6964374999999107e-06,41.961168659910314,0.00026851146285491166,-0.6130859143070859,-0.7814535136595913,0.0015459397687055607,1.0398963022809904e-07,1.2004375000000157e-06,38.87030760782177,8.707015223422964e-05,-0.5048328287371345,0.4798660843460465,0.002023746700673916,2.2227133095334115e-09,-31239877199.145294,-54611178.73675503,-23866.77599097962,2.2543749999995137e-07,5.280566828775978,0.0002728983255970779,-0.7648022723505025,-0.5333644291573658,0.0014639279913288322,1.8184155105828207e-07,1642,,1
1643,-92.5,433.0,27.5,1110.0,-362452512.31863433,-536350.3856275687,-198.41846476567275,1.3828125000000819e-06,31.151826443358736,0.00020125694197373374,-0.47342590595482387,-0.9154683330027442,0.0014080032534471046,8.768554706479816e-08,4.350343750000006e-05,1120.3753233428636,0.0001342473525887272,-0.25399033648539104,0.2878264140826352,0.0016096075319845826,1.3619537566385992e-09,-1627274161.670099,-2654418.769314798,-1082.4736617316719,8.639374999999758e-07,20.92680830829521,0.00019177267559528186,-0.5780453876592458,-0.8190829612289678,0.0015138860651402423,1.8411925277332123e-07,1643,,1
1644,-72.5,430.0,21.5,1100.0,-1631530337.3961363,-2679140.7696681353,-1099.8541607695554,9.226875000000606e-07,23.124654012222454,0.00019341455555882923,-0.6417091858908472,-0.7473816394064063,0.0015664060212600562,1.9405027847273777e-07,1.1233562499999954e-05,358.183615479258,0.00011586121733118829,-1.0665619304637517,2.7828726657048977,0.001992818415506478,2.012866159880079e-09,-1295797336957.601,-2369939733.6075945,-1083621.291426682,2.7937500000040083e-08,0.3720281323003229,0.00013865909078439618,-0.5962666623637619,-0.9753518568847812,0.0008317692633503435,1.009293123634581e-07,1644,,1
1645,-67.5,424.0,26.0,1105.0,854323730234.8376,1562589552.8516803,714508.4539801889,2.812499999994139e-08,0.22129492846556809,0.00013247669408077926,0.24501487279532388,-1.225823171993692,0.0004926720272164011,1.015437338328011e-07,1.1233562499999954e-05,358.183615479258,0.00011586121733118829,-1.0665619304637517,2.7828726657048977,0.001992818415506478,2.012866159880079e-09,-1627274161.670099,-2654418.769314798,-1082.4736617316719,8.639374999999758e-07,20.92680830829521,0.00019177267559528186,-0.5780453876592458,-0.8190829612289678,0.0015138860651402423,1.8411925277332123e-07,1645,,1
1646,-70.0,424.0,15.5,1080.0,-1617994358.3555822,-2657074.785169943,-1090.861843061227,7.936250000000139e-07,19.618733087085367,4.123123905374129e-05,-0.5444826517973377,-0.8550102044148478,0.0015450217131404488,1.451254889722151e-07,4.350343750000006e-05,1120.3753260732199,0.00013719861250502548,-0.2539944155408586,0.28783511367930004,0.0016096075284746656,1.361953107542798e-09,-363139629.2320322,-529463.0289419753,-192.98943183563787,1.3828125000000819e-06,31.152024341142727,0.00028706242777746496,-0.47351964666303387,-0.9150703961418669,0.0014080048277648888,8.7679774898604e-08,1646,,1
1647,-77.5,437.5,26.0,1100.0,44226552722.28789,80931771.64107324,37024.986120754445,2.587500000004149e-08,0.30161735360500064,0.00011010947249530617,-0.05344145390701538,-1.1003015236152704,0.0007291130895411573,1.046672465840383e-07,1.2004375000000157e-06,38.87030760782177,8.707015223422964e-05,-0.5048328287371345,0.4798660843460465,0.002023746700673916,2.2227133095334115e-09,-1295797336957.601,-2369939733.6075945,-1083621.291426682,2.7937500000040083e-08,0.3720281323003229,0.00013865909078439618,-0.5962666623637619,-0.9753518568847812,0.0008317692633503435,1.009293123634581e-07,1647,,1
